bytes,threads,stride_B,rw,pattern,repetition,GBps,lat_est_ns
536870912,1,64,100R,seq,0,14.125868,38006224.000000
536870912,1,64,100R,seq,1,13.871746,38702475.000000
536870912,1,64,100R,seq,2,13.557350,39599988.000000
536870912,1,64,100R,seq,3,12.765227,42057295.000000
536870912,1,64,100R,seq,4,6.254297,85840328.000000
