bytes,threads,stride_B,rw,pattern,repetition,GBps,lat_est_ns
536870912,1,64,100R,seq,0,16.908198,31752107.000000
536870912,1,64,100R,seq,1,18.459407,29083865.000000
536870912,1,64,100R,seq,2,16.262087,33013654.000000
536870912,1,64,100R,seq,3,4.144825,129527991.000000
536870912,1,64,100R,seq,4,10.821813,49610072.000000
