bytes,threads,stride_B,rw,pattern,repetition,GBps,lat_est_ns
536870912,1,64,100R,random,0,3.682804,145777758.000000
536870912,1,64,100R,random,1,3.428905,156572120.000000
536870912,1,64,100R,random,2,3.502922,153263757.000000
536870912,1,64,100R,random,3,3.121751,171977519.000000
536870912,1,64,100R,random,4,3.017336,177928762.000000
