kernel,dtype,N,stride,misalign,tail,median_ms,p10_ms,p90_ms,gflops,gibps,cpe,label,hint,check,vecmode
saxpy,f64,2097152,1,0,0,2.0709,1.74016,2.39206,2.025353,22.635086,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,8388608,1,0,0,8.8691,8.30778,9.3147,1.891648,21.140815,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,8388608,1,0,0,7.5305,7.28984,8.0047,2.227902,24.898745,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,8388608,1,0,0,8.0378,7.8678,8.29532,2.08729,23.327279,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,8192,1,0,0,0.0087,0.0086,0.00874,1.883218,7.015535,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,8192,1,0,0,0.0087,0.00866,0.00874,1.883218,7.015535,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,8192,1,0,0,0.0088,0.0087,0.0261,1.861818,6.935813,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,32768,1,0,0,0.0346,0.03456,0.03672,1.894104,7.056087,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,32768,1,0,0,0.0346,0.03456,0.0355,1.894104,7.056087,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,32768,1,0,0,0.0346,0.0346,0.0354,1.894104,7.056087,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,131072,1,0,0,0.1251,0.1251,0.1264,2.095476,7.806255,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,131072,1,0,0,0.1252,0.1251,0.12668,2.093802,7.80002,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,131072,1,0,0,0.1252,0.1251,0.12992,2.093802,7.80002,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,524288,1,0,0,0.5053,0.50222,0.54378,2.075155,7.730556,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,524288,1,0,0,0.5098,0.50056,0.64402,2.056838,7.662319,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,524288,1,0,0,0.5137,0.50382,0.58552,2.041223,7.604146,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,1048576,1,0,0,1.0238,1.01854,1.09984,2.0484,7.630885,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,1048576,1,0,0,1.0341,1.02442,1.13404,2.027997,7.554879,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,1048576,1,0,0,1.0287,1.02488,1.12466,2.038643,7.594537,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,2097152,1,0,0,2.0629,2.0259,2.4155,2.033208,7.574289,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,2097152,1,0,0,2.0889,2.0625,2.53396,2.007901,7.480013,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,2097152,1,0,0,2.1766,2.04016,2.60028,1.926998,7.178627,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f32,8388608,1,0,0,8.2406,8.17608,8.47048,2.035922,7.584399,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f32,8388608,1,0,0,9.4429,8.7556,9.63102,1.776702,6.618729,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f32,8388608,1,0,0,8.5373,8.26484,9.35376,1.965167,7.320816,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,8192,1,0,0,0.0078,0.0078,0.00794,2.100513,15.65004,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,8192,1,0,0,0.0078,0.0078,0.0079,2.100513,15.65004,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,8192,1,0,0,0.0079,0.0079,0.0087,2.073924,15.451938,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,32768,1,0,0,0.0349,0.0313,0.04336,1.877822,13.990867,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,32768,1,0,0,0.0346,0.03328,0.0409,1.894104,14.112175,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,32768,1,0,0,0.0332,0.0313,0.0346,1.973976,14.707267,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,131072,1,0,0,0.1385,0.12516,0.16056,1.892736,14.101986,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,131072,1,0,0,0.1279,0.1252,0.1469,2.049601,15.270719,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,131072,1,0,0,0.1257,0.12526,0.13814,2.085473,15.537987,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,524288,1,0,0,0.5453,0.5177,0.66952,1.922934,14.326976,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,524288,1,0,0,0.6741,0.52678,0.81444,1.55552,11.589527,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,524288,1,0,0,0.5256,0.5162,0.57136,1.995008,14.863965,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,1048576,1,0,0,1.1476,1.06862,1.37904,1.827424,13.615371,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,1048576,1,0,0,1.3203,1.11228,1.50456,1.588391,11.834432,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,1048576,1,0,0,1.2795,1.0506,1.42686,1.63904,12.211801,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,2097152,1,0,0,2.184,2.14726,2.65868,1.920469,14.308608,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,2097152,1,0,0,2.1528,2.12128,2.46468,1.948302,14.515979,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,2097152,1,0,0,2.2731,2.17238,2.56322,1.845191,13.747745,0.0,unit,mode:AVX2,isa:AVX2,AVX2
dot,f64,8388608,1,0,0,8.7184,8.66292,9.29352,1.924346,14.337493,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
dot,f64,8388608,1,0,0,9.5234,8.561,10.1734,1.761683,13.125564,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
dot,f64,8388608,1,0,0,8.7735,8.56958,9.31196,1.91226,14.24745,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,8192,1,0,0,0.0031,0.00286,0.0035,2.642581,29.53314,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,8192,1,0,0,0.0013,0.0013,0.00158,6.301538,70.42518,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,8192,1,0,0,0.001,0.001,0.00186,8.192,91.552734,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,32768,1,0,0,0.0087,0.00866,0.00874,3.766437,42.093211,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,32768,1,0,0,0.0043,0.00426,0.00434,7.620465,85.165334,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
