bytes,threads,stride_B,rw,pattern,repetition,GBps,lat_est_ns
536870912,1,64,100R,random,0,2.998858,179025122.000000
536870912,1,64,100R,random,1,2.834616,189398136.000000
536870912,1,64,100R,random,2,1.696696,316421393.000000
536870912,1,64,100R,random,3,1.876390,286119059.000000
536870912,1,64,100R,random,4,2.118500,253420332.000000
