bytes,threads,stride_B,rw,pattern,repetition,GBps,lat_est_ns
536870912,1,256,100R,seq,0,3.967121,135330112.000000
536870912,1,256,100R,seq,1,5.126158,104731636.000000
536870912,1,256,100R,seq,2,6.296038,85271236.000000
536870912,1,256,100R,seq,3,5.402527,99374028.000000
536870912,1,256,100R,seq,4,5.290635,101475696.000000
