p_r_avg,skew_nom,skew_p95,skew_p99,P_nom,P_avgMC
0.0550357108667959,3.13063584864451e-13,3.62845771144155e-13,3.74287515513561e-13,0.26646924832606,0.266627814390557
0.25,4.01997770552968e-13,4.65794032554695e-13,4.80478690873901e-13,0.333040718452612,0.333239072408912
0.4999755859375,4.0865208290901e-13,4.73545530873094e-13,4.88507542212455e-13,0.371611177979119,0.371832584412217
0.75,5.25059444520213e-13,6.08483568499816e-13,6.27682782507454e-13,0.439533315462881,0.439795317043558
0.970612318048952,6.0038354817078e-13,6.95780770345391e-13,7.17764950417843e-13,0.466791396726787,0.46706968969439
