p_r,skew_nom,skew_p95,skew_p99,P_nom,P_avgMC
0,4.42571706603942e-10,5.07272703908761e-10,5.26868497138178e-10,0.0878453764129073,0.0878970917602974
0.25,4.02628290279764e-13,4.66511521420597e-13,4.81221733407546e-13,0.333195087772939,0.33339344172924
0.5,4.37540560555746e-13,5.06989210605622e-13,5.22988595512493e-13,0.369993333940314,0.370213681171409
0.75,5.25723335226307e-13,6.09204466996593e-13,6.28430035045565e-13,0.439687684783208,0.439949686363885
1,5.78622805300812e-13,6.70493272831362e-13,6.91658147313881e-13,0.473370447773165,0.473652580592003
