ws_bytes,stride_elems,page_span,huge,repetition,sec,GBps_effective
1073741824,15361,16,1,0,0.003707,2896.416240
1073741824,15361,16,1,1,0.002690,3991.483747
1073741824,15361,16,1,2,0.002655,4044.769685
1073741824,15361,16,1,3,0.002881,3727.766160
1073741824,15361,16,1,4,0.003535,3037.264335
