ws_bytes,stride_elems,page_span,huge,repetition,sec,GBps_effective
1073741824,1,1,0,0,0.496648,21.619792
1073741824,1,1,0,1,0.618765,17.352994
1073741824,1,1,0,2,0.545866,19.670433
1073741824,1,1,0,3,0.554139,19.376769
1073741824,1,1,0,4,0.492431,21.804909
